user,year,month,input,flow
dulles,2004,MARCH,DULLES   -  S -14,0.82
dulles,2004,APRIL,DULLES   -  S -14,1.52
dulles,2004,MAY,DULLES   -  S -14,1.43
dulles,2004,JUNE,DULLES   -  S -14,1.23
dulles,2004,JULY,DULLES   -  S -14,0.87
dulles,2004,AUGUST,DULLES   -  S -14,0.97
dulles,2004,SEPTEMBER,DULLES   -  S -14,1.60
dulles,2004,OCTOBER,DULLES   -  S -14,1.37
dulles,2004,NOVEMBER,DULLES   -  S -14,2.00
dulles,2004,DECEMBER,DULLES   -  S -14,1.98
dulles,2005,JANUARY,DULLES   -  S -14,1.28
dulles,2005,FEBRUARY,DULLES   -  S -14,0.78
dulles,2005,MARCH,DULLES   -  S -14,1.62
dulles,2005,APRIL,DULLES   -  S -14,0.85
dulles,2005,MAY,DULLES   -  S -14,1.22
dulles,2005,JUNE,DULLES   -  S -14,0.59
dulles,2005,JULY,DULLES   -  S -14,1.11
dulles,2005,AUGUST,DULLES   -  S -14,3.98
dulles,2005,SEPTEMBER,DULLES   -  S -14,2.63
dulles,2005,OCTOBER,DULLES   -  S -14,3.12
dulles,2005,NOVEMBER,DULLES   -  S -14,2.34
dulles,2005,DECEMBER,DULLES   -  S -14,2.00
dulles,2006,JANUARY,DULLES   -  S -14,5.27
dulles,2006,FEBRUARY,DULLES   -  S -14,1.46
dulles,2006,MARCH,DULLES   -  S -14,1.15
dulles,2006,APRIL,DULLES   -  S -14,1.71
dulles,2006,MAY,DULLES   -  S -14,1.42
dulles,2006,JUNE,DULLES   -  S -14,1.30
dulles,2006,JULY,DULLES   -  S -14,1.19
dulles,2006,AUGUST,DULLES   -  S -14,1.46
dulles,2006,SEPTEMBER,DULLES   -  S -14,1.35
dulles,2006,OCTOBER,DULLES   -  S -14,1.86
dulles,2006,NOVEMBER,DULLES   -  S -14,2.29
dulles,2006,DECEMBER,DULLES   -  S -14,1.06
dulles,2007,JANUARY,DULLES   -  S -14,1.13
dulles,2007,FEBRUARY,DULLES   -  S -14,0.57
dulles,2007,MARCH,DULLES   -  S -14,1.23
dulles,2007,APRIL,DULLES   -  S -14,0.81
dulles,2007,MAY,DULLES   -  S -14,0.73
dulles,2007,JUNE,DULLES   -  S -14,0.93
dulles,2007,JULY,DULLES   -  S -14,1.29
dulles,2007,AUGUST,DULLES   -  S -14,1.78
dulles,2007,SEPTEMBER,DULLES   -  S -14,1.32
dulles,2007,OCTOBER,DULLES   -  S -14,1.33
dulles,2007,NOVEMBER,DULLES   -  S -14,2.28
dulles,2007,DECEMBER,DULLES   -  S -14,1.17
dulles,2008,JANUARY,DULLES   -  S -14,1.25
dulles,2008,FEBRUARY,DULLES   -  S -14,0.75
dulles,2008,MARCH,DULLES   -  S -14,0.99
dulles,2008,APRIL,DULLES   -  S -14,1.35
dulles,2008,MAY,DULLES   -  S -14,2.30
dulles,2008,JUNE,DULLES   -  S -14,2.18
dulles,2008,JULY,DULLES   -  S -14,2.50
dulles,2008,AUGUST,DULLES   -  S -14,1.94
dulles,2008,SEPTEMBER,DULLES   -  S -14,2.09
dulles,2008,OCTOBER,DULLES   -  S -14,1.67
dulles,2008,NOVEMBER,DULLES   -  S -14,1.49
dulles,2008,DECEMBER,DULLES   -  S -14,1.64
dulles,2009,JANUARY,DULLES   -  S -14,1.62
dulles,2009,FEBRUARY,DULLES   -  S -14,0.07
dulles,2009,MARCH,DULLES   -  S -14,5.92
dulles,2009,APRIL,DULLES   -  S -14,1.28
dulles,2009,MAY,DULLES   -  S -14,0.94
dulles,2009,JUNE,DULLES   -  S -14,2.47
dulles,2009,JULY,DULLES   -  S -14,2.08
dulles,2009,AUGUST,DULLES   -  S -14,1.65
dulles,2009,SEPTEMBER,DULLES   -  S -14,1.86
dulles,2009,OCTOBER,DULLES   -  S -14,2.78
dulles,2009,NOVEMBER,DULLES   -  S -14,1.62
dulles,2009,DECEMBER,DULLES   -  S -14,2.68
dulles,2010,JANUARY,DULLES   -  S -14,1.15
dulles,2010,FEBRUARY,DULLES   -  S -14,1.11
dulles,2010,MARCH,DULLES   -  S -14,1.34
dulles,2010,APRIL,DULLES   -  S -14,0.99
dulles,2010,MAY,DULLES   -  S -14,1.40
dulles,2010,JUNE,DULLES   -  S -14,1.33
dulles,2010,JULY,DULLES   -  S -14,3.25
dulles,2010,AUGUST,DULLES   -  S -14,1.89
dulles,2010,SEPTEMBER,DULLES   -  S -14,2.02
dulles,2010,OCTOBER,DULLES   -  S -14,1.30
dulles,2010,NOVEMBER,DULLES   -  S -14,0.93
dulles,2010,DECEMBER,DULLES   -  S -14,0.85
dulles,2011,JANUARY,DULLES   -  S -14,0.33
dulles,2011,FEBRUARY,DULLES   -  S -14,1.47
dulles,2011,MARCH,DULLES   -  S -14,2.87
dulles,2011,APRIL,DULLES   -  S -14,2.12
dulles,2011,MAY,DULLES   -  S -14,2.45
dulles,2011,JUNE,DULLES   -  S -14,1.84
dulles,2011,JULY,DULLES   -  S -14,2.17
dulles,2011,AUGUST,DULLES   -  S -14,4.13
dulles,2011,SEPTEMBER,DULLES   -  S -14,3.66
dulles,2011,OCTOBER,DULLES   -  S -14,4.14
dulles,2011,NOVEMBER,DULLES   -  S -14,4.54
dulles,2011,DECEMBER,DULLES   -  S -14,4.27
dulles,2012,JANUARY,DULLES   -  S -14,3.74
dulles,2012,FEBRUARY,DULLES   -  S -14,2.99
dulles,2012,MARCH,DULLES   -  S -14,2.38
dulles,2012,APRIL,DULLES   -  S -14,2.13
dulles,2012,MAY,DULLES   -  S -14,3.83
dulles,2012,JUNE,DULLES   -  S -14,1.83
dulles,2012,JULY,DULLES   -  S -14,1.74
dulles,2012,AUGUST,DULLES   -  S -14,1.61
dulles,2012,SEPTEMBER,DULLES   -  S -14,1.41
dulles,2012,OCTOBER,DULLES   -  S -14,2.71
dulles,2012,NOVEMBER,DULLES   -  S -14,1.51
dulles,2012,DECEMBER,DULLES   -  S -14,1.62
dulles,2013,JANUARY,DULLES   -  S -14,2.08
dulles,2013,FEBRUARY,DULLES   -  S -14,1.69
